# Source: EPA Power Profiler crosswalk (USEPA/power-profiler GitHub, eGRID2023).
# (zip, wires utility) grain — feeds zip_supplier_candidates for non-CCA rows.
zip,state,eiaid,utility_name,subregion,predominant
00731,PR,,,PRMS,TRUE
00732,PR,,,PRMS,TRUE
00733,PR,,,PRMS,TRUE
00734,PR,,,PRMS,TRUE
00735,PR,,,PRMS,TRUE
00736,PR,,,PRMS,TRUE
00737,PR,,,PRMS,TRUE
00738,PR,,,PRMS,TRUE
00739,PR,,,PRMS,TRUE
00740,PR,,,PRMS,TRUE
00741,PR,,,PRMS,TRUE
00742,PR,,,PRMS,TRUE
00744,PR,,,PRMS,TRUE
00745,PR,,,PRMS,TRUE
00751,PR,,,PRMS,TRUE
00754,PR,,,PRMS,TRUE
00757,PR,,,PRMS,TRUE
00765,PR,,,PRMS,TRUE
00766,PR,,,PRMS,TRUE
00767,PR,,,PRMS,TRUE
00769,PR,,,PRMS,TRUE
00771,PR,,,PRMS,TRUE
00772,PR,,,PRMS,TRUE
00773,PR,,,PRMS,TRUE
00775,PR,,,PRMS,TRUE
00777,PR,,,PRMS,TRUE
00778,PR,,,PRMS,TRUE
00780,PR,,,PRMS,TRUE
00782,PR,,,PRMS,TRUE
00783,PR,,,PRMS,TRUE
00784,PR,,,PRMS,TRUE
00785,PR,,,PRMS,TRUE
00786,PR,,,PRMS,TRUE
00791,PR,,,PRMS,TRUE
00792,PR,,,PRMS,TRUE
00794,PR,,,PRMS,TRUE
00795,PR,,,PRMS,TRUE
00901,PR,,,PRMS,TRUE
00902,PR,,,PRMS,TRUE
00906,PR,,,PRMS,TRUE
00907,PR,,,PRMS,TRUE
00908,PR,,,PRMS,TRUE
00909,PR,,,PRMS,TRUE
00910,PR,,,PRMS,TRUE
00911,PR,,,PRMS,TRUE
00912,PR,,,PRMS,TRUE
00913,PR,,,PRMS,TRUE
00914,PR,,,PRMS,TRUE
00915,PR,,,PRMS,TRUE
00916,PR,,,PRMS,TRUE
00917,PR,,,PRMS,TRUE
00918,PR,,,PRMS,TRUE
00919,PR,,,PRMS,TRUE
00920,PR,,,PRMS,TRUE
00921,PR,,,PRMS,TRUE
00922,PR,,,PRMS,TRUE
00923,PR,,,PRMS,TRUE
00924,PR,,,PRMS,TRUE
00925,PR,,,PRMS,TRUE
00926,PR,,,PRMS,TRUE
00927,PR,,,PRMS,TRUE
00928,PR,,,PRMS,TRUE
00929,PR,,,PRMS,TRUE
00930,PR,,,PRMS,TRUE
00931,PR,,,PRMS,TRUE
00933,PR,,,PRMS,TRUE
00934,PR,,,PRMS,TRUE
00935,PR,,,PRMS,TRUE
00936,PR,,,PRMS,TRUE
00937,PR,,,PRMS,TRUE
00939,PR,,,PRMS,TRUE
00940,PR,,,PRMS,TRUE
00949,PR,,,PRMS,TRUE
00950,PR,,,PRMS,TRUE
00951,PR,,,PRMS,TRUE
00952,PR,,,PRMS,TRUE
00953,PR,,,PRMS,TRUE
00954,PR,,,PRMS,TRUE
00955,PR,,,PRMS,TRUE
00956,PR,,,PRMS,TRUE
00957,PR,,,PRMS,TRUE
00958,PR,,,PRMS,TRUE
00959,PR,,,PRMS,TRUE
00960,PR,,,PRMS,TRUE
00961,PR,,,PRMS,TRUE
00962,PR,,,PRMS,TRUE
00963,PR,,,PRMS,TRUE
00965,PR,,,PRMS,TRUE
00966,PR,,,PRMS,TRUE
00968,PR,,,PRMS,TRUE
00969,PR,,,PRMS,TRUE
00970,PR,,,PRMS,TRUE
00971,PR,,,PRMS,TRUE
00975,PR,,,PRMS,TRUE
00976,PR,,,PRMS,TRUE
00977,PR,,,PRMS,TRUE
00978,PR,,,PRMS,TRUE
00979,PR,,,PRMS,TRUE
00981,PR,,,PRMS,TRUE
00982,PR,,,PRMS,TRUE
00983,PR,,,PRMS,TRUE
00984,PR,,,PRMS,TRUE
00985,PR,,,PRMS,TRUE
00986,PR,,,PRMS,TRUE
00987,PR,,,PRMS,TRUE
00988,PR,,,PRMS,TRUE
01001,MA,20455,Western Massachusetts Electric Company,NEWE,TRUE
01002,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01003,MA,20455,Western Massachusetts Electric Company,NEWE,TRUE
01004,MA,20455,Western Massachusetts Electric Company,NEWE,TRUE
01005,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01007,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01008,MA,16438,City of Russell - (MA),NEWE,TRUE
01008,MA,20455,Western Massachusetts Electric Company,NEWE,FALSE
01008,MA,3447,Town of Chester,NEWE,FALSE
01009,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01010,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01011,MA,3447,Town of Chester,NEWE,TRUE
01011,MA,20455,Western Massachusetts Electric Company,NEWE,FALSE
01012,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01013,MA,3477,City of Chicopee - (MA),NEWE,TRUE
01013,MA,8774,City of Holyoke - (MA),NEWE,FALSE
01014,MA,3477,City of Chicopee - (MA),NEWE,TRUE
