# Generated by supplier_candidates.py — EPA wires crosswalk + GeoNames +
# hand-curated 2023 CCA territories. County-grain CCA coverage over-offers in
# partially-covered counties; the supplier picker in the UI is the correction.
# is_default: TRUE = supplier a customer has with no action (CCA in CCA land).
zip,state,supplier_id,default_product,is_default,enrollment_share,notes,data_quality
90064,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90065,CA,GLENDALE_WATER_AND_POWER,Standard,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90065,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,FALSE,1.0,municipal/co-op,CURATED_APPROXIMATE
90066,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90067,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90068,CA,BURBANK_WATER_AND_POWER,Standard,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90068,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,FALSE,1.0,municipal/co-op,CURATED_APPROXIMATE
90069,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90070,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90071,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90072,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90073,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90074,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90075,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90076,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90077,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90078,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90079,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90080,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90081,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90082,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90083,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90084,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90086,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90087,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90088,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90089,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90090,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90091,CA,SOUTHERN_CALIFORNIA_EDISON_COMPANY,SCE Power Mix,TRUE,1.0,,CURATED_APPROXIMATE
90093,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90094,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90095,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90096,CA,SOUTHERN_CALIFORNIA_EDISON_COMPANY,SCE Power Mix,TRUE,1.0,,CURATED_APPROXIMATE
90099,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90103,CA,SOUTHERN_CALIFORNIA_EDISON_COMPANY,SCE Power Mix,TRUE,1.0,,CURATED_APPROXIMATE
90189,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90201,CA,SOUTHERN_CALIFORNIA_EDISON_COMPANY,SCE Power Mix,TRUE,1.0,,CURATED_APPROXIMATE
90202,CA,SOUTHERN_CALIFORNIA_EDISON_COMPANY,SCE Power Mix,TRUE,1.0,,CURATED_APPROXIMATE
90209,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90210,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90211,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90212,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90213,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90220,CA,SOUTHERN_CALIFORNIA_EDISON_COMPANY,SCE Power Mix,TRUE,1.0,,CURATED_APPROXIMATE
90221,CA,SOUTHERN_CALIFORNIA_EDISON_COMPANY,SCE Power Mix,TRUE,1.0,,CURATED_APPROXIMATE
90222,CA,SOUTHERN_CALIFORNIA_EDISON_COMPANY,SCE Power Mix,TRUE,1.0,,CURATED_APPROXIMATE
90223,CA,SOUTHERN_CALIFORNIA_EDISON_COMPANY,SCE Power Mix,TRUE,1.0,,CURATED_APPROXIMATE
90224,CA,SOUTHERN_CALIFORNIA_EDISON_COMPANY,SCE Power Mix,TRUE,1.0,,CURATED_APPROXIMATE
90230,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90231,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90232,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90233,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90239,CA,CLEAN_POWER_ALLIANCE_OF_SOUTHERN_CALIFOR,Clean Power,TRUE,0.88,CCA default territory,CURATED_APPROXIMATE
