ba,year,alpha,egrid_kg_per_kwh,kg_per_kwh_flat,kg_per_kwh_load_weighted,uplift_pct,predicted_uplift_pct,rho,cv_load,cv_intensity,upstream_kg_per_kwh,monthly_kg_per_kwh,warnings,subregion
JEA,2024,0.90774,0.531531,0.615782,0.608044,-1.257,0.297,0.0562,0.4468,0.1184,0.085005,"{""1"": 0.60839, ""2"": 0.587097, ""3"": 0.604687, ""4"": 0.661718, ""5"": 0.612352, ""6"": 0.647141, ""7"": 0.659431, ""8"": 0.673001, ""9"": 0.618532, ""10"": 0.59706, ""11"": 0.508625, ""12"": 0.503942}",,
LDWP,2024,0.95962,0.461544,0.537242,0.548344,2.067,1.326,0.0983,0.4177,0.3229,0.075214,"{""1"": 0.461668, ""2"": 0.440851, ""3"": 0.404069, ""4"": 0.355961, ""5"": 0.336314, ""6"": 0.380996, ""7"": 0.598329, ""8"": 0.601554, ""9"": 0.682336, ""10"": 0.733864, ""11"": 0.707715, ""12"": 0.75886}",,
LGEE,2024,1.03057,0.865479,0.932346,0.933842,0.16,-0.044,-0.0213,0.4267,0.0487,0.066721,"{""1"": 0.948529, ""2"": 0.946235, ""3"": 0.999804, ""4"": 0.946907, ""5"": 0.942981, ""6"": 0.92562, ""7"": 0.923245, ""8"": 0.90888, ""9"": 0.916946, ""10"": 0.925155, ""11"": 0.878482, ""12"": 0.944528}",,
MISO,2024,0.99495,0.447894,0.511427,0.516174,0.928,0.99,0.1492,0.4085,0.1623,0.06356,"{""1"": 0.541709, ""2"": 0.437583, ""3"": 0.40319, ""4"": 0.394012, ""5"": 0.451986, ""6"": 0.484, ""7"": 0.585627, ""8"": 0.583744, ""9"": 0.576711, ""10"": 0.568695, ""11"": 0.558918, ""12"": 0.595671}",,
NEVP,2024,0.83116,0.320489,0.405658,0.422442,4.137,1.309,0.0916,0.6092,0.2345,0.086138,"{""1"": 0.425398, ""2"": 0.395267, ""3"": 0.36013, ""4"": 0.318703, ""5"": 0.30419, ""6"": 0.332424, ""7"": 0.475913, ""8"": 0.477861, ""9"": 0.473494, ""10"": 0.468487, ""11"": 0.478854, ""12"": 0.478291}",,
NWMT,2024,1.12222,0.723353,0.773918,0.799782,3.342,0.602,0.0373,0.4,0.4031,0.052162,"{""1"": 0.684414, ""2"": 0.684288, ""3"": 0.603409, ""4"": 0.549287, ""5"": 0.271206, ""6"": 0.33587, ""7"": 1.02558, ""8"": 1.077503, ""9"": 1.078463, ""10"": 1.080325, ""11"": 1.065208, ""12"": 1.075552}",,
NYIS,2024,0.88811,0.218024,0.283512,0.291635,2.865,1.217,0.1308,0.405,0.2298,0.066278,"{""1"": 0.240916, ""2"": 0.233944, ""3"": 0.231944, ""4"": 0.2077, ""5"": 0.236062, ""6"": 0.261753, ""7"": 0.3537, ""8"": 0.350447, ""9"": 0.354881, ""10"": 0.381221, ""11"": 0.313018, ""12"": 0.329334}",,
PACE,2024,1.05083,0.643601,0.705767,0.736239,4.317,1.302,0.1176,0.4131,0.2681,0.063398,"{""1"": 0.649827, ""2"": 0.601831, ""3"": 0.575994, ""4"": 0.527818, ""5"": 0.515183, ""6"": 0.548735, ""7"": 0.878234, ""8"": 0.873978, ""9"": 0.8848, ""10"": 0.894715, ""11"": 0.913683, ""12"": 0.895546}",,
PACW,2024,1.0,0.140213,0.023156,0.023333,0.767,-0.891,-0.1026,0.3656,0.2374,0.023543,"{""1"": 0.022222, ""2"": 0.022737, ""3"": 0.023435, ""4"": 0.023592, ""5"": 0.02346, ""6"": 0.025254, ""7"": 0.021019, ""8"": NaN, ""9"": NaN, ""10"": NaN, ""11"": NaN, ""12"": NaN}",Only 4367/8784 usable hours; calibration is thin.,
PGE,2024,1.09021,0.361123,0.445563,0.4277,-4.009,0.528,0.0429,0.3813,0.3231,0.081526,"{""1"": 0.413264, ""2"": 0.372025, ""3"": 0.358483, ""4"": 0.279972, ""5"": 0.199915, ""6"": 0.287321, ""7"": 0.531158, ""8"": 0.533084, ""9"": 0.533084, ""10"": 0.533084, ""11"": 0.533084, ""12"": 0.533084}",,
PJM,2024,0.98134,0.326317,0.385502,0.386355,0.221,1.525,0.3442,0.4128,0.1073,0.058819,"{""1"": 0.407637, ""2"": 0.356212, ""3"": 0.335353, ""4"": 0.350546, ""5"": 0.362776, ""6"": 0.401443, ""7"": 0.443635, ""8"": 0.431074, ""9"": 0.380182, ""10"": 0.364034, ""11"": 0.368832, ""12"": 0.407607}",,
PNM,2024,0.58876,0.179013,0.233297,0.321185,37.672,3.763,0.1727,0.4825,0.4516,0.065741,"{""1"": 0.242033, ""2"": 0.187892, ""3"": 0.166704, ""4"": 0.164084, ""5"": 0.148411, ""6"": 0.219444, ""7"": 0.415485, ""8"": 0.41706, ""9"": 0.424853, ""10"": 0.432372, ""11"": 0.448806, ""12"": 0.462237}","alpha=0.589 outside (0.8, 1.25). This is a structural problem - likely a BA/subregion mismatch, a fuel taxonomy misjoin, or the wrong eGRID vintage. Do not ship this factor.",
PSCO,2024,0.81611,0.365714,0.428373,0.466834,8.978,-0.252,-0.0175,0.4012,0.3588,0.066053,"{""1"": 0.406394, ""2"": 0.368252, ""3"": 0.290222, ""4"": 0.252498, ""5"": 0.256019, ""6"": 0.35988, ""7"": 0.589706, ""8"": 0.60675, ""9"": 0.636994, ""10"": 0.637324, ""11"": 0.593999, ""12"": 0.601216}",,
PSEI,2024,0.91309,0.291516,0.372449,0.380081,2.049,0.37,0.0343,0.3783,0.2844,0.082068,"{""1"": 0.360361, ""2"": 0.356698, ""3"": 0.336367, ""4"": 0.282758, ""5"": 0.211826, ""6"": 0.216751, ""7"": 0.457713, ""8"": 0.462236, ""9"": 0.462241, ""10"": 0.462242, ""11"": 0.462288, ""12"": 0.462271}",,
SC,2024,0.99471,0.766663,0.835477,0.8295,-0.715,0.356,0.0797,0.4481,0.0998,0.069354,"{""1"": 0.80695, ""2"": 0.73629, ""3"": 0.724075, ""4"": 0.782557, ""5"": 0.852141, ""6"": 0.895486, ""7"": 0.933975, ""8"": 0.82311, ""9"": 0.822518, ""10"": 0.819648, ""11"": 0.809622, ""12"": 0.892901}",,
SCEG,2024,0.97033,0.339542,0.401555,0.409497,1.978,0.678,0.0611,0.4481,0.2477,0.062387,"{""1"": 0.387561, ""2"": 0.346404, ""3"": 0.3394, ""4"": 0.317235, ""5"": 0.294098, ""6"": 0.391375, ""7"": 0.456298, ""8"": 0.411689, ""9"": 0.469764, ""10"": 0.597833, ""11"": 0.493405, ""12"": 0.382611}",,
SCL,2024,1.0,0.000397,0.024,0.024,-0.0,-0.0,-0.0,0.3632,0.0,0.024,"{""1"": 0.024, ""2"": 0.024, ""3"": 0.024, ""4"": 0.024, ""5"": 0.024, ""6"": 0.024, ""7"": 0.024, ""8"": NaN, ""9"": NaN, ""10"": NaN, ""11"": NaN, ""12"": NaN}",Only 4367/8784 usable hours; calibration is thin.,
SEC,2024,1.13361,0.550516,0.641747,0.643849,0.327,1.228,0.2882,0.4039,0.1055,0.091591,"{""1"": 0.685977, ""2"": 0.61308, ""3"": 0.550347, ""4"": 0.626207, ""5"": 0.671161, ""6"": 0.682344, ""7"": 0.662734, ""8"": 0.679636, ""9"": 0.652645, ""10"": 0.619451, ""11"": 0.689914, ""12"": 0.563288}",,
